动作参数,台词
greeting_1,你好……欢迎来到我的房间，一起放松一下吧。
greeting_2,欢迎你来我的房间，坐到床上吧，我来帮你放松，好吗？
greeting_3,欢迎你来我的房间，我有点兴奋了，让我帮你放松，好吗？
greeting_4,欢迎你来我的房间，你看起来好累，让我轻轻帮你放松吧。
greeting_5,啊，你来了……欢迎，坐到床上，让我帮你脱裤子，相信我，好吗？
greeting_6,你好……欢迎来到我的房间，让我帮你放松一下，好吗？
greeting_7,你好呀，欢迎来我房间。让我帮你放松，好吗？
greeting_8,你好啊，你终于来了……让我帮你放松一下，好吗？
greeting_9,欢迎你来我的房间，你看起来很累，让我来照顾你吧。
greeting_10,你终于来了，房间里好热呢……让我帮你脱掉裤子，好吗？
P0_orgasm_1,啊…要死了…你的太棒了！
P0_orgasm_2,啊…你让我高潮了…好爽！
P0_orgasm_3,啊…你…我高潮了！操，好热…好爽！
P0_orgasm_4,啊…我高潮了…继续操我，好爽！
P0_orgasm_5,啊啊…太爽了…我…操…爽死了！
P0_orgasm_6,啊啊…你把我操得…我高潮了！
P0_orgasm_7,啊……我高潮了……好爽！
P0_orgasm_8,啊...你...操...我高潮了，好爽！
P0_B0_reaction_1,嗯……你的动作好温柔，我好舒服……
P0_B0_reaction_2,嗯... 你的动作好舒服，我的心跳加速了...
P0_B0_reaction_3,嗯……你这样轻轻动着，好舒服，我的心都暖起来了……
P0_B1_B2_B3_reaction_1,嗯……你动得真好……我越来越热了……
P0_B1_B2_B3_reaction_2,啊…你动得这么温柔，我的心跳加速了…继续吧…
P0_B1_B2_B3_reaction_3,嗯…你这样动着，我好舒服…别停下，好吗…
P0_B1_B2_B3_reaction_4,嗯……你这样顶进来，我的心跳好快……别停下，好吗？
P0_B1_B2_B3_reaction_5,嗯……你的动作让我好热……继续，好吗？
P0_B1_B2_reaction_1,嗯……你这样动着，我的心跳加速了……好舒服……
P0_B1_B2_reaction_2,嗯... 你动得这么温柔，我开始觉得热起来了……
P0_B1_B2_reaction_3,嗯……你这样动，我好舒服，呼吸都乱了呢……
P0_B1_B2_reaction_4,嗯……你这样动，我的心跳好快……再深一点，好吗……
P0_B1_B2_reaction_5,嗯……你动得让我渐渐热起来了，好喜欢这种感觉……
P0_B1_B2_reaction_6,嗯...你的动作让我好舒服...再深一点...
P0_B1_reaction_1,嗯，你这样动着，我觉得好温暖，身体微微发热了呢……
